Property_ID,Square_Footage,Bedrooms,Bathrooms,Property_Age_Years,Lot_Size_SqFt,Garage_Cars,Location_Tier,Distance_to_City_Miles,Renovation_Score,Condition,Quarter_Sold,Annual_Tax,Price
PROP-1071,3099,5,5.0,6,9236,3,Suburban Standard,23.5,4,Fair,2023-Q4,8834,797858
PROP-1072,2076,2,1.5,29,9342,2,Exurban,46.9,8,Excellent,2023-Q1,3361,323473
PROP-1073,3117,5,3.5,18,12236,3,Suburban Standard,15.5,4,Fair,2024-Q2,8252,771863
PROP-1074,750,1,1.5,48,3740,0,Emerging Tech Corridor,12.3,4,Fair,2023-Q3,2213,186391
PROP-1075,2634,4,3.5,24,10828,0,Suburban Prime,18.6,4,Fair,2023-Q2,8316,779723
PROP-1076,2156,4,3.0,15,8060,1,Urban Metro,2.8,3,Fair,2023-Q1,9300,795363
PROP-1077,1905,3,3.0,46,7381,1,Suburban Standard,27.8,5,Good,2024-Q1,4273,415427
PROP-1078,2159,3,2.0,53,10803,2,Suburban Prime,11.7,3,Fair,2024-Q1,6992,629105
PROP-1079,808,1,1.5,39,3619,0,Emerging Tech Corridor,7.3,5,Good,2023-Q2,2353,233782
PROP-1080,1957,3,2.5,50,3682,2,Urban Metro,4.9,5,Good,2023-Q2,7125,635362
PROP-1081,2332,3,3.5,7,8432,3,Suburban Prime,14.1,1,Needs Renovation,2023-Q2,8721,777997
PROP-1082,3060,5,5.0,17,12669,3,Suburban Prime,12.6,1,Needs Renovation,2023-Q4,11590,1022959
PROP-1083,1763,3,2.5,27,7661,0,Exurban,29.5,5,Good,2023-Q2,3185,325324
PROP-1084,1574,2,1.5,15,3973,1,Urban Metro,4.8,6,Good,2024-Q1,5939,550772
PROP-1085,1773,2,2.0,51,8418,1,Urban Metro,4.9,9,Excellent,2023-Q2,7450,639228
PROP-1086,2695,3,2.5,18,13609,2,Urban Metro,3.8,3,Fair,2024-Q2,11377,998194
PROP-1087,2313,4,3.5,41,6024,1,Emerging Tech Corridor,13.6,2,Needs Renovation,2023-Q3,6451,642960
PROP-1088,1755,2,2.0,16,8425,2,Urban Metro,2.6,2,Needs Renovation,2024-Q1,7168,629903
PROP-1089,2433,2,1.0,44,5181,1,Urban Metro,2.1,5,Good,2023-Q3,7401,688483
PROP-1090,2163,3,2.5,12,4303,0,Urban Metro,4.4,6,Good,2024-Q1,8174,745763
PROP-1091,2729,6,4.5,6,6111,3,Suburban Standard,24.1,7,Good,2023-Q1,8131,732130
PROP-1092,1643,2,1.5,26,3279,1,Urban Metro,2.1,6,Good,2024-Q2,6729,559089
PROP-1093,1887,3,3.0,9,8818,0,Suburban Prime,9.1,3,Fair,2024-Q1,6809,635942
PROP-1094,1845,3,2.0,33,3691,1,Suburban Prime,19.3,5,Good,2024-Q2,5454,524650
PROP-1095,1148,1,1.5,35,3126,0,Suburban Standard,27.6,8,Excellent,2024-Q1,2602,220283
PROP-1096,2292,4,3.0,24,4934,2,Suburban Standard,22.3,4,Fair,2023-Q3,6415,573604
PROP-1097,2269,3,2.5,5,6363,2,Suburban Prime,11.9,5,Good,2023-Q3,8675,742225
PROP-1098,2103,3,3.0,23,4432,2,Exurban,49.9,9,Excellent,2024-Q1,3840,352344
PROP-1099,1947,3,2.5,17,7926,1,Exurban,47.3,6,Good,2024-Q1,3849,311261
PROP-1100,1180,1,1.5,22,2658,1,Suburban Prime,15.2,6,Good,2023-Q4,3672,327449
PROP-1101,1826,3,3.0,5,8575,2,Emerging Tech Corridor,12.4,4,Fair,2024-Q2,7238,632092
PROP-1102,1877,3,2.5,28,8593,0,Suburban Standard,25.1,5,Good,2024-Q2,5063,408600
PROP-1103,1578,2,1.5,24,2913,0,Emerging Tech Corridor,13.4,2,Needs Renovation,2024-Q2,4084,369147
PROP-1104,1995,3,2.0,54,9666,1,Suburban Prime,19.8,6,Good,2024-Q2,6764,575984
PROP-1105,2362,3,2.5,16,4484,2,Suburban Prime,17.0,2,Needs Renovation,2023-Q1,7244,663245
PROP-1106,3326,5,5.0,45,8696,2,Suburban Prime,16.5,7,Good,2023-Q1,11170,991263
PROP-1107,2213,3,3.0,23,4227,1,Emerging Tech Corridor,9.2,7,Good,2023-Q2,7282,688948
PROP-1108,2267,4,3.0,10,6669,2,Urban Metro,4.1,5,Good,2024-Q1,9805,889014
PROP-1109,2051,3,2.0,25,7275,1,Urban Metro,5.0,3,Fair,2024-Q1,7156,667295
PROP-1110,852,1,1.5,50,3841,0,Suburban Prime,21.6,1,Needs Renovation,2024-Q1,2108,155544
PROP-1111,2082,3,3.0,33,6140,3,Urban Metro,3.3,7,Good,2024-Q1,9201,774980
PROP-1112,2139,4,3.5,27,8980,2,Suburban Standard,21.2,6,Good,2024-Q2,5975,542991
PROP-1113,3701,6,4.5,2,9021,3,Urban Metro,3.2,6,Good,2024-Q2,15383,1394258
PROP-1114,1974,3,2.5,10,8590,1,Suburban Prime,17.4,4,Fair,2023-Q1,6881,649627
PROP-1115,2296,3,2.5,37,5975,2,Exurban,40.7,5,Good,2023-Q3,4519,396398
PROP-1116,2077,2,2.0,13,4752,2,Suburban Prime,8.2,6,Good,2023-Q4,7068,647291
PROP-1117,1340,2,1.0,50,3256,1,Suburban Standard,20.7,5,Good,2024-Q2,2930,276348
PROP-1118,2842,4,3.0,25,6874,2,Urban Metro,1.4,6,Good,2024-Q2,11571,989490
PROP-1119,2588,4,3.0,47,9171,1,Urban Metro,1.1,7,Good,2024-Q2,10085,908461
PROP-1120,2614,4,3.5,20,12213,1,Emerging Tech Corridor,12.1,3,Fair,2023-Q3,8591,751398
PROP-1121,1508,2,3.0,53,3122,1,Emerging Tech Corridor,7.3,2,Needs Renovation,2023-Q3,4489,399431
PROP-1122,3011,4,3.5,38,12657,2,Suburban Prime,12.8,5,Good,2023-Q1,10235,950190
PROP-1123,1188,2,2.0,29,4781,1,Exurban,26.6,2,Needs Renovation,2024-Q2,1770,207533
PROP-1124,2481,4,3.5,7,11825,2,Exurban,29.5,6,Good,2023-Q4,5850,509331
PROP-1125,3523,4,3.5,50,9265,2,Exurban,44.1,6,Good,2024-Q1,7248,601523
PROP-1126,1456,1,1.5,19,4849,1,Suburban Prime,14.9,8,Excellent,2024-Q2,5065,443844
PROP-1127,1731,2,2.0,47,8564,1,Urban Metro,5.4,6,Good,2023-Q1,7075,615045
PROP-1128,2164,2,2.5,31,8751,3,Suburban Standard,18.4,2,Needs Renovation,2023-Q1,5292,496796
PROP-1129,1772,3,2.0,21,5531,1,Suburban Standard,16.3,4,Fair,2023-Q4,5257,442240
PROP-1130,1092,2,2.0,6,2453,0,Urban Metro,2.7,7,Good,2023-Q2,5512,465310
PROP-1131,2144,4,3.0,8,5772,3,Emerging Tech Corridor,11.4,3,Fair,2023-Q1,7784,713716
PROP-1132,1409,2,2.0,44,5320,0,Urban Metro,3.8,6,Good,2023-Q3,5524,478675
PROP-1133,2407,4,3.0,0,10209,1,Suburban Prime,20.7,7,Good,2023-Q3,8439,800842
PROP-1134,1502,2,1.5,28,3338,2,Suburban Prime,16.4,4,Fair,2024-Q1,5120,437829
PROP-1135,3107,4,3.0,7,11926,3,Suburban Standard,19.9,4,Fair,2023-Q1,8598,783044
PROP-1136,1590,2,2.5,53,5837,1,Suburban Prime,19.0,5,Good,2024-Q1,4420,427528
PROP-1137,1890,2,2.5,3,6704,2,Emerging Tech Corridor,13.5,7,Good,2023-Q1,6989,613261
PROP-1138,2628,4,3.0,34,10896,2,Suburban Standard,17.7,3,Fair,2023-Q4,6362,615560
PROP-1139,1299,2,2.0,2,6036,0,Emerging Tech Corridor,7.2,9,Excellent,2024-Q2,5641,494503
PROP-1140,2247,3,2.5,53,6512,1,Exurban,40.4,5,Good,2023-Q1,3649,356217
PROP-1141,2949,4,3.0,44,14221,3,Suburban Standard,20.0,10,Excellent,2023-Q2,8100,759308
PROP-1142,1055,2,2.0,39,2475,1,Exurban,49.7,2,Needs Renovation,2023-Q3,1863,164779
PROP-1143,2220,4,3.0,6,5301,2,Urban Metro,3.3,2,Needs Renovation,2023-Q4,9009,809002
PROP-1144,2268,4,4.5,26,6139,2,Suburban Prime,9.0,7,Good,2024-Q2,9549,813594
PROP-1145,2608,3,3.0,0,5754,1,Urban Metro,5.9,7,Good,2024-Q2,10116,937709
PROP-1146,1295,1,1.0,26,3345,0,Suburban Prime,19.8,5,Good,2023-Q3,3913,312597
PROP-1147,1241,2,1.5,15,2682,1,Emerging Tech Corridor,6.6,6,Good,2024-Q2,4264,411256
PROP-1148,2439,3,3.0,37,11204,3,Urban Metro,5.5,7,Good,2024-Q1,10503,913156
PROP-1149,2293,3,3.5,6,5210,1,Suburban Prime,12.8,1,Needs Renovation,2023-Q4,8137,696926
PROP-1150,2262,3,2.0,43,9818,2,Suburban Standard,18.0,5,Good,2023-Q2,5499,482430
PROP-1151,2325,2,1.0,22,4563,1,Suburban Standard,26.5,7,Good,2023-Q3,4734,443880
PROP-1152,1657,3,3.5,40,8326,1,Suburban Prime,15.4,4,Fair,2023-Q1,5948,571884
PROP-1153,2250,4,3.5,10,9490,2,Emerging Tech Corridor,6.2,4,Fair,2023-Q1,8271,790843
PROP-1154,2290,3,2.5,41,4174,0,Urban Metro,2.8,7,Good,2023-Q1,8924,747238
PROP-1155,1635,1,1.5,52,7189,1,Suburban Prime,18.1,4,Fair,2023-Q4,4328,394454
PROP-1156,3312,5,3.0,32,11750,2,Suburban Standard,14.8,1,Needs Renovation,2023-Q2,8214,763030
PROP-1157,2407,4,3.5,49,10710,2,Suburban Standard,21.4,9,Excellent,2024-Q2,6766,634732
PROP-1158,1325,1,1.5,35,4738,1,Suburban Prime,17.7,5,Good,2023-Q2,3920,345505
PROP-1159,2526,4,3.5,36,10052,2,Emerging Tech Corridor,8.1,7,Good,2023-Q2,8642,782262
PROP-1160,1466,2,1.5,40,6558,1,Suburban Prime,17.7,7,Good,2023-Q3,4410,445182
PROP-1161,2611,4,3.5,16,8296,1,Suburban Prime,20.4,2,Needs Renovation,2023-Q4,9230,801011
PROP-1162,2853,4,3.0,34,5161,1,Urban Metro,3.4,3,Fair,2023-Q1,10490,927659
PROP-1163,1566,2,2.0,47,7344,0,Suburban Standard,18.1,4,Fair,2023-Q3,4540,356147
PROP-1164,2726,5,3.5,4,8437,2,Suburban Standard,16.0,4,Fair,2024-Q2,8470,725755
PROP-1165,2368,3,2.5,47,8256,3,Urban Metro,4.0,6,Good,2023-Q2,8342,827878
PROP-1166,2634,4,3.0,31,4810,2,Suburban Prime,20.3,6,Good,2023-Q1,9167,780536
PROP-1167,3332,4,3.5,2,11572,3,Emerging Tech Corridor,7.9,5,Good,2023-Q4,11923,1032211
PROP-1168,1940,2,2.0,51,9998,2,Suburban Prime,13.5,3,Fair,2024-Q1,5730,531362
PROP-1169,1610,2,2.0,46,4421,1,Urban Metro,3.0,4,Fair,2023-Q2,5428,496289
PROP-1170,1521,2,2.0,34,4782,2,Suburban Standard,21.0,5,Good,2023-Q2,4137,358422
PROP-1171,1569,3,2.0,51,6490,1,Urban Metro,2.1,5,Good,2023-Q2,6022,564855
PROP-1172,2049,2,2.0,13,9364,1,Emerging Tech Corridor,12.4,2,Needs Renovation,2023-Q2,6674,602467
PROP-1173,2321,2,2.0,47,7471,1,Urban Metro,2.5,6,Good,2023-Q1,9187,793566
PROP-1174,2279,4,4.5,30,6501,1,Suburban Standard,23.3,2,Needs Renovation,2023-Q4,6252,544358
PROP-1175,2637,4,3.0,30,13154,2,Suburban Prime,15.2,4,Fair,2023-Q3,9050,825957
PROP-1176,2108,3,3.0,16,8647,1,Emerging Tech Corridor,10.3,6,Good,2023-Q1,8152,700517
PROP-1177,3044,5,4.5,23,6711,3,Urban Metro,1.9,1,Needs Renovation,2023-Q4,12117,1073804
PROP-1178,1927,2,2.0,51,3920,2,Suburban Standard,23.8,5,Good,2023-Q3,4742,416218
PROP-1179,3868,6,5.0,22,13321,3,Suburban Standard,15.0,4,Fair,2023-Q2,10077,913534
PROP-1180,2506,4,3.5,17,6386,3,Suburban Prime,9.6,1,Needs Renovation,2023-Q4,8787,784796
PROP-1181,1542,2,2.0,49,4107,2,Suburban Prime,15.7,3,Fair,2023-Q2,4578,429499
PROP-1182,1403,3,2.5,53,6712,2,Suburban Standard,23.3,9,Excellent,2023-Q4,3819,392998
PROP-1183,2413,3,3.0,13,5078,2,Exurban,26.3,5,Good,2024-Q2,4762,432680
PROP-1184,1954,3,3.0,49,8269,2,Urban Metro,1.3,10,Excellent,2024-Q1,8482,760679
PROP-1185,2564,4,3.0,14,6978,2,Urban Metro,5.0,5,Good,2023-Q2,10546,937958
PROP-1186,2407,4,3.0,14,10554,2,Emerging Tech Corridor,12.3,5,Good,2023-Q2,9606,825280
PROP-1187,2052,4,3.0,5,8733,1,Urban Metro,2.2,4,Fair,2023-Q2,8628,787906
PROP-1188,1549,2,1.5,26,2827,0,Exurban,40.4,4,Fair,2024-Q2,2171,203764
PROP-1189,1115,1,1.0,14,3937,1,Suburban Standard,19.1,4,Fair,2023-Q1,2944,242379
PROP-1190,1809,3,3.0,49,4113,2,Suburban Standard,22.1,4,Fair,2023-Q3,4035,380498
PROP-1191,2656,4,3.0,35,12603,1,Urban Metro,5.3,5,Good,2023-Q2,10511,934381
PROP-1192,2239,4,3.5,54,10665,2,Urban Metro,1.4,3,Fair,2023-Q2,9085,822115
PROP-1193,1290,2,2.0,7,4156,0,Suburban Standard,24.4,3,Fair,2023-Q1,3165,289163
PROP-1194,2212,3,3.0,14,7323,1,Exurban,37.3,4,Fair,2023-Q1,4601,390497
PROP-1195,2350,4,2.5,2,6653,3,Exurban,39.1,5,Good,2024-Q1,5327,485689
PROP-1196,1525,1,1.0,46,6460,0,Urban Metro,4.3,6,Good,2023-Q4,5488,468895
PROP-1197,2199,3,2.5,12,6639,1,Urban Metro,5.6,7,Good,2023-Q2,8527,813655
PROP-1198,2137,4,4.0,40,5792,3,Urban Metro,1.3,4,Fair,2023-Q4,9105,851316
PROP-1199,1357,1,1.0,33,4436,1,Emerging Tech Corridor,5.3,3,Fair,2023-Q1,3302,356953
PROP-1200,2332,3,2.0,23,4922,2,Suburban Prime,10.5,4,Fair,2023-Q1,7157,670309
PROP-1201,2464,4,3.5,39,10689,1,Urban Metro,5.9,8,Excellent,2024-Q1,10883,921990
PROP-1202,2803,5,3.5,31,5165,1,Urban Metro,4.6,1,Needs Renovation,2023-Q3,10072,899828
PROP-1203,2784,5,3.5,31,11111,1,Suburban Prime,16.6,6,Good,2024-Q2,10258,935285
PROP-1204,1204,2,1.5,29,2915,0,Exurban,26.2,5,Good,2024-Q2,2615,212591
PROP-1205,1490,2,2.0,51,3859,0,Suburban Prime,20.3,3,Fair,2024-Q2,3571,294173
PROP-1206,2434,3,2.5,48,9641,2,Urban Metro,5.1,4,Fair,2023-Q1,9104,845630
PROP-1207,2433,4,2.5,12,12593,2,Suburban Prime,17.3,3,Fair,2023-Q2,9270,760839
PROP-1208,2434,3,3.0,0,10817,1,Suburban Prime,12.7,7,Good,2024-Q1,9409,832730
PROP-1209,4604,6,5.0,33,11822,3,Urban Metro,1.4,5,Good,2023-Q3,16360,1450000
PROP-1210,2471,4,3.5,14,5926,1,Urban Metro,3.9,5,Good,2024-Q2,10140,892109
PROP-1211,2838,5,3.5,43,13466,1,Suburban Standard,23.5,5,Good,2024-Q1,8020,702849
PROP-1212,2720,4,3.0,13,9003,0,Urban Metro,1.5,6,Good,2023-Q1,11063,1004501
PROP-1213,2523,5,4.0,28,5717,2,Urban Metro,4.2,5,Good,2024-Q2,11338,955825
PROP-1214,1895,2,2.0,33,8966,1,Suburban Prime,12.0,1,Needs Renovation,2023-Q3,6043,547274
PROP-1215,2593,4,3.5,17,11862,2,Emerging Tech Corridor,11.9,4,Fair,2023-Q4,9270,802098
PROP-1216,1597,2,1.5,53,8217,0,Suburban Standard,20.6,3,Fair,2023-Q3,3367,313398
PROP-1217,1946,3,2.5,6,9522,2,Suburban Standard,14.1,6,Good,2023-Q2,5929,546894
PROP-1218,1784,3,3.0,28,8377,3,Suburban Standard,20.4,2,Needs Renovation,2024-Q2,6236,505904
PROP-1219,2153,3,3.0,54,4260,1,Suburban Standard,18.3,5,Good,2024-Q2,4867,437494
PROP-1220,3604,6,5.0,30,7766,3,Urban Metro,1.9,3,Fair,2023-Q4,14409,1287449
PROP-1221,886,2,2.0,24,3308,1,Exurban,46.0,9,Excellent,2023-Q4,1975,168827
PROP-1222,2546,4,3.5,37,9183,2,Urban Metro,1.1,4,Fair,2024-Q2,11347,943469
PROP-1223,1051,1,2.0,13,3528,0,Suburban Prime,12.4,4,Fair,2023-Q2,4459,340090
PROP-1224,1793,2,2.0,7,5646,1,Emerging Tech Corridor,5.1,8,Excellent,2023-Q4,7190,607632
PROP-1225,2807,3,2.5,26,9167,3,Suburban Prime,9.3,5,Good,2023-Q1,10716,880398
PROP-1226,2141,4,4.0,53,7997,1,Exurban,32.4,9,Excellent,2024-Q2,4082,389801
PROP-1227,1399,1,1.5,1,2528,1,Suburban Prime,8.8,1,Needs Renovation,2023-Q3,3922,332622
PROP-1228,1635,2,1.5,16,4392,2,Emerging Tech Corridor,10.4,4,Fair,2023-Q3,5275,469037
PROP-1229,2541,4,3.0,36,9051,2,Emerging Tech Corridor,5.8,6,Good,2023-Q2,8332,791366
PROP-1230,1625,2,2.0,13,6915,0,Exurban,42.5,8,Excellent,2023-Q1,3185,272050
PROP-1231,2240,4,3.5,24,5358,1,Exurban,26.3,4,Fair,2023-Q4,4454,410872
PROP-1232,2129,4,3.5,29,7790,2,Emerging Tech Corridor,5.5,8,Excellent,2024-Q2,8673,733315
PROP-1233,1676,2,2.0,28,7088,1,Suburban Standard,16.9,5,Good,2023-Q3,4336,397725
PROP-1234,3493,5,4.5,19,11567,3,Suburban Prime,20.6,7,Good,2023-Q3,12261,1106920
PROP-1235,2512,4,3.5,20,4752,2,Urban Metro,4.2,4,Fair,2023-Q3,10502,896632
PROP-1236,783,1,1.5,52,2605,1,Suburban Standard,24.3,3,Fair,2023-Q3,1324,120000
PROP-1237,2221,4,3.5,21,6236,2,Exurban,28.5,8,Excellent,2024-Q1,5618,470541
PROP-1238,1669,3,2.0,34,8279,2,Suburban Standard,25.3,8,Excellent,2023-Q2,5131,446830
PROP-1239,2654,4,3.5,36,5901,2,Exurban,25.2,5,Good,2023-Q4,6007,524660
PROP-1240,1584,3,3.5,15,6365,1,Emerging Tech Corridor,6.9,1,Needs Renovation,2024-Q2,5661,512016
PROP-1241,2025,4,3.0,49,4007,1,Urban Metro,4.1,2,Needs Renovation,2024-Q2,7124,622653
PROP-1242,2428,4,3.0,48,8053,1,Urban Metro,2.9,5,Good,2024-Q2,9300,833900
PROP-1243,2662,3,2.5,42,9805,2,Suburban Prime,21.8,1,Needs Renovation,2023-Q4,7394,681717
PROP-1244,1319,2,1.5,16,3710,0,Urban Metro,1.2,4,Fair,2023-Q2,5823,522754
PROP-1245,1882,2,1.5,15,6299,1,Suburban Standard,28.0,4,Fair,2023-Q1,4513,368470
PROP-1246,1791,2,2.0,54,4219,2,Exurban,40.6,6,Good,2023-Q2,3292,279624
PROP-1247,1675,3,2.0,1,4746,2,Emerging Tech Corridor,10.0,2,Needs Renovation,2023-Q3,6425,553079
PROP-1248,3247,6,4.5,3,12701,3,Suburban Prime,8.8,5,Good,2023-Q3,12936,1155044
PROP-1249,2363,3,3.0,20,6678,3,Urban Metro,2.4,5,Good,2023-Q2,9735,921142
PROP-1250,1280,2,1.5,38,6219,2,Suburban Prime,20.9,6,Good,2023-Q2,4011,390918
PROP-1251,2696,5,4.5,33,10613,2,Suburban Prime,13.0,5,Good,2023-Q4,9920,893484
PROP-1252,3479,5,4.0,29,11450,2,Suburban Prime,17.3,4,Fair,2023-Q4,11283,1037823
PROP-1253,2771,6,5.0,5,5352,1,Urban Metro,6.0,6,Good,2024-Q1,12214,1104584
